Order,Genus,species,Specimen number (YPM),sex,mass (g),femur_circumference (mm),femur_diamter (mm),femur_length (mm),humerus_diameter (mm),humerus_length (mm),tarsus_circumference (mm),tarsus_diameter (mm),tarsus_length (mm),tibia_length (mm),humerus_circumference (mm),coracoid HAF (mm),coracoid shaft width,coracoid max length
Accipitriformes,Accipiter,cooperii,109131,m,349.00,15.98,5.16,60.69,5.3,57.83,10.38,3.5,66.58,82.72,16.45,4.77,3.49,35.42
Accipitriformes,Accipiter,cooperii,104408,m,349.00,15.52,4.94,53.89,4.73,72.76,13.07,3.99,57.85,76.65,15.5,4.82,3.07,31.79
Accipitriformes,Accipiter,cooperii,110886,m,349.00,14.26,4.72,61.49,4.25,68.64,9.54,2.97,65.66,81.78,13.59,4.71,2.85,34.98
Accipitriformes,Accipiter,cooperii,112327,f,529.00,21.06,6.29,67.4,5.89,75.75,15.35,4.02,69.22,88.56,15.29,5.72,3.69,38.5
Accipitriformes,Accipiter,cooperii,110889,f,529.00,17.49,6.06,68.61,5.29,78.59,14.69,4.36,73.08,93.8,15.08,5.61,3.51,39.82
Accipitriformes,Accipiter,cooperii,111218,f,529.00,18.05,6.14,64.79,5.88,74.94,14.61,4.13,66.1,86.41,16.32,5.68,3.68,40.14
Accipitriformes,Accipiter,gentilis,107594,m,912.00,17.26,6.4,74.31,7.24,88.95,15.56,4.95,73.78,99.42,20.08,6.97,4.29,48.8
Accipitriformes,Accipiter,gentilis,107015,m,912.00,22.38,6.84,73.87,8.31,88.13,15.97,4.42,69.46,93.29,21.34,7.04,4.31,46.4
Accipitriformes,Accipiter,gentilis,102868,m,912.00,21.75,8.42,88.81,7.31,114.87,25.72,7.22,89.24,116.6,25.98,7.01,6.19,50.19
Accipitriformes,Accipiter,gentilis,111217,m,912.00,23.37,6.42,73.61,7.49,90.79,16.64,4.18,69.69,94.88,23.87,6.97,4.33,45.2
Accipitriformes,Accipiter,gentilis,110381,m,912.00,19.86,6.41,75.18,7.76,89.94,19.59,4.5,70.76,95.2,21.96,7.02,4.24,47.73
Accipitriformes,Accipiter,gentilis,110379,f,1137.00,19.56,7.01,77.7,7.63,91.71,15.62,4.9,75.81,98.32,24.36,7.62,4.89,49.92
Accipitriformes,Accipiter,gentilis,111220,f,1137.00,22.13,7.84,79.26,9.85,96.1,15.67,4.49,73.22,102.58,24.08,7.63,4.47,48.36
Accipitriformes,Accipiter,novaehollandiae,104650,m,356.00,13.78,4.47,51.43,3.34,62.86,11.96,3.24,61.69,69.43,11.95,4.73,2.8,29.49
Accipitriformes,Accipiter,poliocephalus,104651,f,225.00,13.9,4.64,53.22,3.06,63,9.68,3.54,64.32,80.54,11.86,3.91,2.96,31.06
Accipitriformes,Accipiter,striatus,111221,m,103.00,8.84,2.81,40.47,3.9,44.15,5.28,1.76,50.42,54.11,11.42,2.84,2.05,24.79
Accipitriformes,Accipiter,striatus,112330,f,174.00,11.74,3.78,49.48,4.39,53.69,6.82,2.34,53.56,62.36,13.45,3.52,2.69,30.06
Accipitriformes,Accipiter,striatus,109159,f,174.00,11.91,3.93,46.32,4.18,51.17,6.69,2.33,53.24,61.47,12.88,3.53,2.56,29.87
Accipitriformes,Accipiter,striatus,107016,f,174.00,10.9,3.46,46.43,4.48,52.4,6.58,2.27,54.35,61.3,13.41,3.53,2.39,30.21
Accipitriformes,Aquila,chrysaetos,102002,m,3900.00,38.73,13.65,127.07,11.88,209,29.4,10.75,104.3,179,33.14,13.04,11.89,75.93
Accipitriformes,Buteo,jamaicensis,111153,m,1028.00,25.36,6.83,77.96,7.03,100.63,19.01,5.8,80.67,103.37,25.17,7.29,6.18,41.19
Accipitriformes,Buteo,jamaicensis,104545,m,1028.00,23.82,6.85,78.12,5.7,99.68,19.73,5.77,74.36,102.77,22.57,7.32,5.72,43.62
Accipitriformes,Buteo,jamaicensis,111223,f,1224.00,29.03,8.68,88.35,7.95,113.18,25.45,7.09,83.6,113.29,25.35,7.84,6.54,49.49
Accipitriformes,Buteo,jamaicensis,112334,f,1224.00,24.26,7.89,85.1,8.08,107.52,25.76,6.63,80.64,109.82,27.08,7.92,6.99,43.77
Accipitriformes,Buteo,jamaicensis,111224,f,1224.00,24.01,7.84,86,9.17,111.23,21.75,6.54,83.66,111.56,21.09,7.89,6.77,48.7
Accipitriformes,Buteo,jamaicensis,111065,f,1224.00,31.16,9.36,89.45,7.7,115.26,26.86,7.84,88.03,117.34,25.44,7.94,6.67,52.15
Accipitriformes,Buteo,jamaicensis,107596,f,1224.00,24.51,7.49,80.74,9.11,104.51,21.75,5.52,82.9,107.42,23.46,7.86,6.05,44.78
Accipitriformes,Buteo,jamaicensis,107595,f,1224.00,33.17,8.88,88.66,8.05,116.22,26.82,7.39,86.24,115.94,27.87,7.86,7.78,48.31
Accipitriformes,Buteo,lineatus,112332,m,544.00,19.03,5.56,70.26,6.31,87.36,15.87,3.98,77.7,94.97,20.32,5.71,3.74,38.1
Accipitriformes,Buteo,lineatus,111126,f,670.00,21.19,5.97,69.31,6.55,90.37,16.96,4.76,74.37,91.75,23.82,6.15,4.68,38.82
Accipitriformes,Buteo,lineatus,102278,f,670.00,20.06,6.35,72.64,5.65,93.87,16.07,4.88,79.05,97.27,20.18,6.14,4.58,38.64
Accipitriformes,Buteo,platypterus,107597,m,420.00,15.87,4.89,53.64,5.52,71.33,10.82,3.49,59.34,73.88,18.21,5.03,3.8,31
Accipitriformes,Buteo,platypterus,110390,m,420.00,17.85,5.37,56.8,4.52,76.9,16.41,3.94,63.29,81.54,16.26,5.06,4.43,31.21
Accipitriformes,Buteo,platypterus,111225,m,420.00,14.98,4.53,54.95,5.61,73.13,13.41,4.08,50.78,77.77,17.54,5.06,3.92,32.71
Accipitriformes,Buteo,platypterus,103426,m,420.00,18.4,5.42,59.54,5.56,76.95,18.06,4.11,64.74,83.5,15.88,5.07,2.45,33.29
Accipitriformes,Buteo,regalis,110933,m,1163.00,31.54,9.4,96.89,7.73,131.59,27.92,7.97,91.11,123.49,28.53,7.75,6.06,49.88
Accipitriformes,Buteo,swainsoni,111227,m,808.00,17.4,6.34,72.24,7.68,100.44,17.71,5.4,68.2,95.77,26.36,6.59,5.66,41.8
Accipitriformes,Buteo,swainsoni,111226,f,1109.00,20.88,6.78,73.08,7.14,109.19,16.03,5.55,65.87,99.05,24.57,7.65,5.86,42.7
Accipitriformes,Buteogallus,meridionalis,104437,f,808.00,23.48,7.66,72.02,7.34,106.58,18.31,5.67,96.27,111.03,20.76,6.74,6.31,43.06
Accipitriformes,Circus,aeruginosus,110795,f,814.00,18.99,6.81,70.01,7.59,103.44,16.39,4.45,90.94,106.4,23.21,6.49,4.51,40.88
Accipitriformes,Circus,aeruginosus,110794,f,814.00,20.25,6.32,70.4,5.12,102.53,15.37,3.9,87.02,105.56,22.35,6.61,4.62,42.19
Accipitriformes,Coragyps,atratus,105131,f,5100.00,29.6,9.59,81.13,10.49,230,20.98,7.37,97.69,167.5,39.99,12.08,6.57,69.1
Accipitriformes,Elanus,caeruleus,107161,f,280.00,12.03,3.9,46.67,4.67,72.02,12.27,4.39,32.36,59.69,14,4.47,3.34,28.83
Accipitriformes,Haliaeetus,leucocephalus,102011,m,4130.00,38.29,12.63,115.36,14.68,215,30.63,9.58,88.12,149.07,42.94,13.41,13.18,80.1
Accipitriformes,Leucopternis,albicollis,104412,f,800.00,20.89,7.02,74.6,6.99,108.15,19.1,6.61,81.59,110.26,25.06,6.84,5.75,44.99
Accipitriformes,Leucopternis,semiplumbeus,105600,m,250.00,13.81,4.47,51.44,4.49,56.12,11.69,3.79,53.1,69.4,13.18,4.07,3.14,28.59
Accipitriformes,Milvus,migrans,104863,m,870.00,18.1,5.63,58.7,6.72,104.33,16.92,4.34,51.09,77.28,19.76,7.09,5.68,39.42
Accipitriformes,Milvus,migrans,104087,m,870.00,14.43,5.32,56.74,7.64,100.83,15.33,4.53,51.17,77.17,18.6,7.07,4.46,37.17
Accipitriformes,Sagittarius,serpentarius,105490,m,4017.00,35.18,12.16,127.66,14.03,198,24.72,7.62,295,339,44,13.15,11.26,75.05
Accipitriformes,Sagittarius,serpentarius,111125,m,4017.00,43.55,13.27,110.24,15.15,198,23.02,7.67,279,286,41.6,13.06,9.47,71.63
Accipitriformes,Spilornis,cheela,109134,f,565.00,23.29,7.32,68.79,5.48,105.49,23.6,7.25,81.45,109.79,24.65,5.84,5.65,43.44
Anseriformes,Aix,galericulata,103106,f,512.00,11.31,3.72,39.97,5.65,67.68,10.33,3.57,38.42,65.74,16.86,5.77,4.13,40.7
Anseriformes,Aix,galericulata,104508,f,512.00,13.67,3.58,37.66,5.41,64.47,8.55,3.32,33.64,59.34,12.92,5.67,4.1,41.34
Anseriformes,Aix,galericulata,103302,f,512.00,12.36,3.82,40.8,5.76,70.87,13.07,3.55,37.33,64.3,14.83,5.61,4.22,44.12
Anseriformes,Aix,galericulata,104449,m,628.00,15.74,4.08,40.2,5.51,70.25,13.91,3.8,38,62.55,14.04,6.21,4.62,44.94
Anseriformes,Aix,sponsa,107580,f,635.00,13.57,3.82,39.54,5.14,68.71,10.57,3.74,34.13,60.71,17.48,6.24,4.41,43.37
Anseriformes,Aix,sponsa,112391,f,635.00,15.48,3.54,42.77,5.71,70.39,12.06,3.14,35.25,64.6,14.83,6.24,4.33,43.07
Anseriformes,Aix,sponsa,111205,f,635.00,11.71,3.64,40.27,6.11,68.75,10.44,3.38,32.96,61.25,21.07,6.16,4.21,43.39
Anseriformes,Aix,sponsa,107014,f,635.00,15.69,3.69,41.85,4.63,69.56,14.53,3.46,35.01,62.88,20.49,6.21,3.6,42.49
Anseriformes,Anas,acuta,109893,m,1006.00,18.62,4.14,47.07,6.82,90.13,15.08,4.79,46.42,79.84,21.8,7.56,5.37,50.84
Anseriformes,Anas,acuta,111207,m,1006.00,15.4,3.94,41.05,7.89,83.14,12.3,4.06,41.79,70.61,20.25,7.43,5.54,45.65
Anseriformes,Anas,americana,112392,f,719.00,12.6,2.34,41.07,4.3,78.41,12.72,3.53,34.58,65.06,19.47,6.48,5.15,46.63
Anseriformes,Anas,americana,103107,m,792.00,13.58,3.58,44.16,4.93,82.32,11.05,3.42,36.97,68.23,22.11,6.76,4.55,46.46
Anseriformes,Anas,americana,109116,m,792.00,13.78,3.49,44.03,5.92,83.42,12.51,3.6,37.46,73.58,19.74,6.87,4.93,45.34
Anseriformes,Anas,americana,112393,m,792.00,15.43,3.17,43.94,5.08,82.36,12.19,3.76,39.34,69.86,20.68,6.73,5.07,48.94
Anseriformes,Anas,americana,112306,m,792.00,14.1,3.06,43.99,5.27,83.63,10.68,3.95,37.94,72.15,21.2,6.77,5.2,47.49
Anseriformes,Anas,americana,111206,m,792.00,15.77,2.77,42.58,4.74,81.46,12.51,3.58,38.42,71.24,21.72,6.74,4.92,46.45
Anseriformes,Anas,clypeata,105113,m,636.00,13.88,2.97,40.36,4.26,74.56,13.65,2.88,37.99,65.95,18.15,6.44,4.2,43.52
Anseriformes,Anas,clypeata,111214,m,636.00,13.9,3.43,41.34,5.14,77.96,11.81,3.69,38.65,67.49,17.56,6.25,4.09,44.09
Anseriformes,Anas,discors,109644,m,380.00,11.45,2.71,34.24,5.38,62.3,10.59,3.26,31.63,55.77,14.95,5.17,3.4,35.44
Anseriformes,Anas,gracilis,110778,f,420.00,12.5,3.69,36.34,5.02,66.27,8.98,3.3,34.41,59.93,14.6,5.22,3.18,37.08
Anseriformes,Anas,gracilis,110779,f,420.00,13.43,3.5,34.99,5.43,64.32,9.28,2.93,31.08,58.48,15.43,5.1,3.84,36.27
Anseriformes,Anas,gracilis,110780,f,420.00,12.53,3.6,38.19,5.27,68.34,10.99,3.33,34.27,63.03,15.06,5.17,3.82,39.72
Anseriformes,Anas,gracilis,110749,m,525.00,12.71,4.17,40,5.74,66.79,15.13,4.42,40.56,69.68,16.44,5.76,3.87,39.22
Anseriformes,Anas,platyrhynchos,109537,f,1095.00,16.52,4.37,47.11,6.49,84.08,12.22,3.88,41.04,74.83,19.33,7.67,5.03,47.76
Anseriformes,Anas,platyrhynchos,111030,f,1095.00,14.55,4.49,51.12,7.34,92.28,14.23,4.55,45.26,82.05,21.17,7.83,5.63,54.68
Anseriformes,Anas,platyrhynchos,109894,m,1246.00,17.22,4.68,52.59,7.21,97.74,16.44,4.49,46.56,84.7,23,8.18,5.96,57.64
Anseriformes,Anas,platyrhynchos,109535,m,1246.00,18.54,5.01,51.74,6.23,95.48,17.37,5.15,46.68,85.66,22.26,8.17,5.73,57.01
Anseriformes,Anas,poecilorhyncha,102621,m,1156.00,16.35,4.76,54.91,9.84,100.5,12.7,5,46.81,96.56,26.19,7.87,6.53,56
Anseriformes,Anas,rubripes,109120,f,1100.00,13.35,4.49,51.12,7.19,92.22,13.07,4.33,45.22,81.76,23.55,7.69,5.86,51.78
Anseriformes,Anas,rubripes,112303,f,1100.00,15.3,4.45,47.32,7.47,86.91,13.84,4.13,42.62,75.23,21.54,7.53,5.31,50.53
Anseriformes,Anas,rubripes,109897,f,1100.00,18.61,4.93,52.37,7,92.86,14.9,4.61,45.33,83.2,23.97,7.35,5.74,53.51
Anseriformes,Anas,rubripes,109119,m,1400.00,16.37,4.32,50.72,7.34,95.51,15.54,4.06,45.61,81.89,22.65,7.91,5.48,56.19
Anseriformes,Anas,rubripes,107581,m,1400.00,18.05,4.69,52.93,7.34,93.75,14.78,4.74,46.1,84.67,24.45,7.79,6.13,55.77
Anseriformes,Anas,rubripes,107582,m,1400.00,16.47,4.28,51.33,9.91,93.46,15.19,4.41,46.08,82.45,23.39,8.03,5.59,56.01
Anseriformes,Anas,sibilatrix,106017,f,795.00,13.32,3.55,42.06,8.08,80.5,11.78,3.97,37.29,66.24,16.92,6.73,4.71,43.76
Anseriformes,Anas,sibilatrix,105130,m,1072.00,14.09,4.39,48.65,5.76,90.47,14.31,4.42,44.74,77.33,23.79,7.74,6.09,50.7
Anseriformes,Anas,strepera,109124,m,968.00,14.77,4,45.21,7.54,88.02,12.4,3.92,41.23,75.19,21.61,7.49,5.9,47.55
Anseriformes,Aythya,affinis,104566,f,790.00,14.29,3.73,41.59,7.27,75.37,14.36,4.1,33.91,66.49,16.77,6.72,4.78,44.92
Anseriformes,Aythya,affinis,111082,m,850.00,13.81,4.04,44.08,5.52,79.48,12.33,3.82,35.37,71.62,18.26,7.09,4.48,47.68
Anseriformes,Aythya,americana,111210,f,1035.00,18.26,4.1,46.47,7.28,88.84,13.85,4.2,39.3,77.13,17.56,7.64,5.27,48.48
Anseriformes,Aythya,americana,103852,m,1118.00,16.78,4.4,47.33,6.3,93.19,14.89,4.84,43.45,80.54,17.75,7.92,5.52,53.91
Anseriformes,Aythya,collaris,110551,m,730.00,16.32,3.83,40.01,6.19,77.18,15.35,4.28,32.77,64.6,18.52,6.36,5.18,46.45
Anseriformes,Aythya,marila,109884,f,959.00,16.29,4.49,46.83,5.68,84.7,15.03,3.72,36.98,75.99,18.57,6.91,4.54,47.35
Anseriformes,Aythya,marila,109892,f,959.00,18.06,4.21,46.65,4.75,85.07,14.96,4.04,37.11,74.74,18.37,7.38,5.39,49.35
Anseriformes,Aythya,marila,110588,f,959.00,14.96,4.18,44.49,5.91,82.07,11.98,3.55,35.81,71.27,18.81,7.31,4.33,45.46
Anseriformes,Aythya,marila,109886,f,959.00,15.07,4.17,46.22,5.41,87.14,13.2,4.39,37.77,75.97,16.07,7.35,5.27,49.58
Anseriformes,Aythya,marila,109885,f,959.00,15.81,4.54,46.83,6.93,84.37,11.47,3.69,37.72,75.15,17.67,7.44,4.68,47.32
Anseriformes,Aythya,marila,109883,m,1054.00,14.03,4.19,48.06,4.97,87.77,17.37,4.52,39.43,78.12,18.98,7.63,3.81,45.8
Anseriformes,Aythya,marila,109890,m,1054.00,19.19,4.08,44.87,5.09,84.05,14.77,3.74,38.26,74.37,19.38,7.57,5.42,49.88
Anseriformes,Aythya,marila,109888,m,1054.00,15.34,3.95,49.08,5.11,87.47,15.06,5.16,38.81,77.19,19.64,7.63,5.2,50.42
Anseriformes,Aythya,marila,109889,m,1054.00,16.14,3.9,47.76,5.28,88.25,11.82,4.55,39.86,77.09,17.87,7.62,5.5,50.62
Anseriformes,Aythya,marila,111002,m,1054.00,19.26,4.48,47.38,5.9,86.74,13.49,4.01,36.62,75.95,25.48,7.69,5.68,51.11
Anseriformes,Aythya,novaeseelandiae,110777,m,677.00,12.36,3.73,44.63,4.61,71.31,11.85,3.48,36.86,70.81,14.23,6.11,3.98,41.26
Anseriformes,Aythya,novaeseelandiae,110834,m,677.00,14.01,3.6,43.05,4.44,71.72,12.66,3.62,36.7,68.61,16.7,6.06,4.1,39.9
Anseriformes,Aythya,novaeseelandiae,110833,m,677.00,15.87,4.21,42.85,5.12,70.75,11.95,3.45,32.82,67.15,12.77,6.14,4.08,40.28
Anseriformes,Aythya,novaeseelandiae,110831,f,687.00,15.19,4.08,43.71,5.5,72.48,11.34,3.55,36.07,67.34,17.84,6.05,3.79,41.29
Anseriformes,Aythya,nyroca,106018,m,574.00,10.31,3.45,38.32,3.63,72.61,15.22,4.58,31.3,60.62,14.55,6.04,4.3,44.43
Anseriformes,Aythya,nyroca,106019,m,574.00,12.47,3.23,37.79,3.55,70.55,13.1,3.75,31.74,65.98,16.14,5.8,4.19,42.75
Anseriformes,Aythya,nyroca,103266,m,574.00,13.08,3.71,38.16,9.05,72.33,14.21,3.69,32.38,62.1,11.56,5.77,4.23,43.59
Anseriformes,Aythya,valisineria,104569,m,1252.00,16.89,4.52,49.47,5.99,97.13,17.35,4.63,42.17,82.21,21.9,7.76,5.54,59.64
Anseriformes,Aythya,valisineria,111209,m,1252.00,19.02,4.89,53.41,6.48,99.28,17.99,4.88,46.72,87.6,24.33,8.09,5.79,58.73
Anseriformes,Aythya,valisineria,110589,m,1252.00,17.27,4.52,50.95,8.31,96.12,16.13,4.66,44.78,83.55,22.23,8.19,5.36,58.03
Anseriformes,Branta,bernicla,105115,f,1230.00,17.99,5.22,59.44,7.33,123.99,15.36,3.96,62.85,105.08,24.06,8.14,6.41,52.61
Anseriformes,Branta,bernicla,110372,f,1230.00,17.67,5.37,55.95,7.86,116.36,15.64,4.11,58.13,101.65,21.38,8.05,6.28,50.99
Anseriformes,Branta,bernicla,110317,f,1230.00,20,5.84,59.26,7.42,119.78,16.94,4.28,59.93,102.71,25.58,8.08,7.12,52.32
Anseriformes,Branta,bernicla,109125,f,1230.00,17.86,5.89,57.26,7.28,116.59,17.25,4.79,60.17,98.54,21.73,8.13,6.35,51.77
Anseriformes,Branta,canadensis,109126,f,3314.00,24.05,9.67,83.05,11.87,208,23.02,6.65,87.58,155,40.97,12.12,9.25,77.89
Anseriformes,Branta,canadensis,111203,f,3314.00,28.19,10.26,82.92,11.42,194,21.92,7.06,87.75,156,36.36,12.24,8.9,75.92
Anseriformes,Branta,canadensis,112317,f,3314.00,28.42,8.94,78.97,11.77,193,23.81,7.23,83.67,156,35.69,12.18,9.04,73.71
Anseriformes,Branta,canadensis,111202,f,3314.00,24.94,8.56,84.12,24.73,197,20.71,6.79,87.58,148.76,34.66,12.15,8.94,76.76
Anseriformes,Branta,canadensis,107141,m,3814.00,30.22,9.87,87.31,13.07,214,24.63,7.86,94.21,164,37.95,14.01,10.19,81.46
Anseriformes,Branta,hutchinsii,103258,m,2180.00,16.68,5.89,55.67,7.21,111.85,13.9,4.5,65.56,101.89,22.81,8.63,5.32,48.52
Anseriformes,Branta,leucopsis,103490,m,1788.00,25.46,6.83,69.19,8.89,134.69,17.8,5.39,78.81,123.05,26.32,10.81,7.67,66.02
Anseriformes,Bucephala,albeola,109901,m,473.00,12.86,2.89,39.99,4.09,61.9,10.14,3.36,33.91,59.77,14.02,5.44,3.73,38.14
Anseriformes,Bucephala,clangula,112316,m,1120.00,15.62,3.6,49.55,5.02,79.98,13.48,4.16,36.82,69.45,19.66,7.86,5.43,52.77
Anseriformes,Bucephala,clangula,111215,m,1120.00,14.02,4.06,50.34,5.51,83.14,16.29,4.58,39.37,73.57,18.49,7.16,5.11,54.38
Anseriformes,Bucephala,clangula,109903,m,1120.00,15.11,3.69,50.97,5.18,83.7,15.93,4.21,39.28,73.18,17.52,6.95,5.34,51.94
Anseriformes,Chloephaga,hybrida,105132,m,2575.00,23.64,7.32,81.66,9.4,135.88,23.3,6.57,72.91,103.02,27.59,11.71,6.78,66.49
Anseriformes,Chloephaga,hybrida,104232,m,2575.00,23.77,7.24,80.88,11.95,132.52,21.81,6.46,69.94,135.93,29.36,10.53,6.52,67.23
Anseriformes,Clangula,hyemalis,107589,f,814.00,13.4,3.4,40.42,5.54,71.82,10.44,3.29,33.4,66.17,17.71,6.91,4.93,44.83
Anseriformes,Clangula,hyemalis,109701,f,814.00,14.77,3.45,42.57,4.83,72.32,11.56,3.32,35.24,70.13,15.86,6.42,5.18,48.83
Anseriformes,Clangula,hyemalis,109702,f,814.00,13.4,2.93,39.39,4.69,69,10.13,2.9,34.44,64.3,17.79,6.31,4.52,44.91
Anseriformes,Clangula,hyemalis,107587,f,814.00,14.23,3.4,39.54,7.01,67.45,12.47,3.07,33.46,65.55,15.96,6.2,4.38,42.75
Anseriformes,Clangula,hyemalis,111208,m,932.00,15.25,4.79,41.15,5.27,72.88,10.94,3.11,33.24,65.3,18.77,7.28,4.73,48.19
Anseriformes,Clangula,hyemalis,109904,m,932.00,12.66,4.13,43.08,5.31,75.27,15.36,3.4,36.63,69.71,19.61,6.65,5.32,48.98
Anseriformes,Coscoroba,coscoroba,84584,m,4854.00,29.15,9.61,90.51,18.13,207.5,26.69,8.71,102.78,172.5,41.06,17.69,9.26,80.32
Anseriformes,Cygnus,columbianus,107139,f,6300.00,35.28,11.93,105.06,18.58,272,31.69,9.73,116.03,201,41.61,15.86,12.81,98.01
Anseriformes,Cygnus,columbianus,102219,m,7200.00,40.02,13.55,98.79,13.68,285,28.16,10.96,103.1,204,46.04,16.17,10.96,90.48
Anseriformes,Cygnus,columbianus,109899,m,7200.00,35.43,10.67,99,17.26,277,27.88,10.05,105.91,206,39.9,16.46,12.79,92.85
Anseriformes,Cygnus,olor,102355,f,9670.00,33.5,11.27,102.58,17.16,305,25.04,9.52,110.32,221,46.62,17.08,13.83,101.79
Anseriformes,Cygnus,olor,109127,f,9670.00,37.76,12.05,95.63,17.71,294,32.09,10.47,101.73,200,49.36,16.77,12.74,96.14
Anseriformes,Dendrocygna,bicolor,105108,f,743.00,15.73,5.03,53.43,4.95,98.35,19.31,5.48,62.48,100.05,24.75,7.34,4.3,45.54
Anseriformes,Dendrocygna,bicolor,103491,f,743.00,16.25,5.25,44.26,6.35,87.92,14.07,4.31,49.74,82.02,14.37,6.39,3.43,38.58
Anseriformes,Lophodytes,cucullatus,12380,m,554.00,13.43,4.2,40.52,5.94,68.89,10.82,4.21,31.85,59.27,16.95,5.87,4.97,46.41
Anseriformes,Lophodytes,cucullatus,5420,f,680.00,14.03,3.78,39.4,5.31,68.91,12.95,3.77,31.41,57.98,18.43,6.31,4.71,46.43
Anseriformes,Melanitta,fusca,109907,f,1732.00,17.86,4.23,56.38,6.47,99.15,14.2,4.83,47.55,92.23,22.96,8.74,6.18,53.63
Anseriformes,Melanitta,fusca,109911,f,1732.00,19.77,4.41,50.9,6.18,91.07,16.49,4.7,44.11,83.15,22.47,7.61,5.76,51.75
Anseriformes,Melanitta,fusca,109913,f,1732.00,19.32,4.5,54.66,6.85,96.4,14.41,4.09,46.82,88.73,20.42,7.52,5.79,54.56
Anseriformes,Melanitta,fusca,109912,f,1732.00,19.74,4.67,56.96,6.79,98.24,15.7,4.42,46,92.3,21.5,7.74,5.78,55.45
Anseriformes,Melanitta,fusca,105525,f,1732.00,18.77,4.6,55.54,7.68,97.98,15.02,4.7,47.58,92.84,19.63,7.88,5.93,55.65
Anseriformes,Melanitta,fusca,109906,m,1757.00,20.3,5.95,57.92,7.14,100.34,15.48,4.84,49.32,95.99,21.09,9.43,6.73,58.13
Anseriformes,Melanitta,fusca,109914,m,1757.00,19.31,4.68,58.56,7.4,101.47,16.93,4.92,50.87,96.72,26.77,7.72,6.71,56.62
Anseriformes,Melanitta,fusca,109703,m,1757.00,18.08,5.26,56.71,7.07,100.67,16.98,4.94,50.46,95.46,22.61,8.04,6.16,56.68
Anseriformes,Melanitta,fusca,107590,m,1757.00,20.61,4.63,57.4,7.28,100.55,16.84,4.99,50.4,95.71,25.78,8.28,6.74,58.99
Anseriformes,Melanitta,nigra,110999,f,987.00,18.55,3.95,46.64,5.39,80.69,14.23,3.82,40.75,76.94,18.22,7.35,4.76,46.37
Anseriformes,Melanitta,nigra,112314,f,987.00,15.02,4.11,50.74,5.86,90.24,12.92,4.06,44.42,85.51,18.94,6.89,4.63,47.27
Anseriformes,Melanitta,nigra,109226,f,987.00,18.94,4.83,49.81,6.85,86.35,13.89,3.85,42.9,82.69,19.89,6.79,4.43,46.67
Anseriformes,Melanitta,nigra,109916,m,1117.00,18.03,4.22,52.61,4.61,91.79,16.23,4.52,46.23,86.87,19.76,7.79,4.92,49.33
Anseriformes,Melanitta,perspicillata,111011,f,1047.00,15.24,4.29,46.33,5.32,78.02,13.78,3.82,38.32,73.11,15.88,7.25,5.02,45.29
Anseriformes,Melanitta,perspicillata,110997,m,1147.00,18.41,4.03,51.35,5.49,85.54,15.77,4.11,44.93,83.64,20.55,7.61,5.35,51.47
Anseriformes,Melanitta,perspicillata,109917,m,1148.00,15.83,4.09,48.93,5.36,82,13.59,4.36,42.48,80.88,18.4,7.31,5.08,52.2
Anseriformes,Melanitta,perspicillata,110996,m,1148.00,16.83,4.29,51.62,5.4,85.26,17.99,3.85,44.62,83.92,19.35,7.09,4.86,50.78
Anseriformes,Melanitta,perspicillata,109705,m,1148.00,16.81,3.6,47.83,5.9,82.2,16.06,4.08,42.51,80.7,18.9,7.38,4.6,47.48
Anseriformes,Melanitta,perspicillata,109704,m,1148.00,19.47,5.65,49.9,7.53,84.71,16.2,4.22,43.02,81.32,20.26,7.27,4.89,51.7
Anseriformes,Mergus,merganser,109531,m,1709.00,23.62,5.02,51.87,6.16,98.68,16.25,4.6,50.27,89.79,23.79,8.05,6.8,69.54
Anseriformes,Mergus,merganser,109128,m,1709.00,14.91,5.21,53.18,6.02,94.36,12.04,4.25,49.98,87.58,21.58,8.01,6.82,68.32
Anseriformes,Mergus,merganser,112394,m,1709.00,16.87,4.59,53.51,8.38,95.33,13.11,4.74,51.05,90.39,18.22,8.12,6.46,69.46
Anseriformes,Mergus,serrator,105828,m,1135.00,15.61,4.51,44.7,7.81,86.95,11.16,3.75,42.84,78.55,18.65,7.85,5.29,61.13
Anseriformes,Netta,rufina,105129,f,1118.00,18.61,4.48,45.94,5.74,93.41,14.31,4.95,42.39,80.21,20.92,7.87,5.36,49.11
Anseriformes,Oxyura,jamaicensis,109129,f,588.00,13.42,3.41,38.36,3.99,67.56,11.31,4.26,33.31,66.58,12.52,6.07,3.7,40.15
Anseriformes,Oxyura,jamaicensis,111216,f,588.00,11.45,3.17,37.67,4.11,66.36,9.96,3.71,32.88,66.82,11.01,5.4,3.56,39.22
Anseriformes,Oxyura,jamaicensis,109919,f,588.00,13.26,4.17,39.72,7.61,69.28,16.72,4.7,38.44,69.46,14.05,5.35,3.55,40.34
Anseriformes,Somateria,mollissima,105107,f,1915.00,18.51,5.61,59.27,9.46,105.32,16.31,4.76,50.96,96.09,22.87,9.63,6.59,65.13
Anseriformes,Somateria,mollissima,110959,m,2218.00,19.37,5.89,65.28,7.45,112.99,15.96,5.08,55.49,103.68,23.53,10.53,7.32,66.42
Anseriformes,Somateria,mollissima,103303,m,2218.00,20.33,5.58,60.57,6.74,106.89,18.98,4.83,50.29,97.73,23.68,8.46,6.94,64.94
