FAMILY	SPECIES	Code	F.B.	N-F.B	BM	HL	dpL	bcL	deHW	dHW	UL	peUW	deUW	dUW	RL	dRW	CmL	CmW	DCmW	FL	dFWml	dFWcc	TL	TmL
	S. vulgaris	56688	FB	TGN	-1,1308	1,4360	0,7853	0,6542	0,7931	0,4393		0,6866	0,6042				1,2813	0,2625	0,5611	1,4143	0,3010	0,2765	1,6586	1,4777
	S. vulgaris	79098	FB	TGN	-1,1643	1,4448	0,7896	0,6831	0,7980	0,4099		0,6893	0,6191	0,3636			1,2842	0,2625	0,5763	1,4223	0,2923	0,3010	1,6668	1,4777
Laniidae	Lanius minor	56649	FB	TN	-1,3645	1,3856	0,8176	0,5403	0,7332	0,3404	1,4847	0,5740	0,5527	0,2718	1,4371	-0,2219	1,2206	0,1367	0,5250	1,3533	0,2201	0,2148	1,5679	1,3916
	L. minor	56650	FB	TN	-1,3979	1,3701	0,7875	0,5587	0,7521	0,3181	1,4688	0,5944	0,5502	0,2553	1,4188	-0,2076	1,1989	0,1239	0,4684	1,3280	0,1987	0,2014	1,5473	1,3591
	L. minor	56651	FB	TN	-1,3625	1,3881	0,7860	0,5502	0,7709	0,3284	1,4857	0,5843	0,5752	0,2648	1,4378	-0,1871	1,2287	0,1303	0,4742	1,3566	0,2122	0,2041	1,5623	1,3863
Paridae	Parus major	38663	FB	TN	-1,8416	1,2307	0,7084	0,3655	0,6444	0,2041	1,2986	0,2945	0,3979	0,1303	1,2601	-0,2596	0,9983	-0,0044	0,3096	1,1864	0,0899	0,0531	1,4401	1,3034
	P. major	46368	FB	TN	-1,8268	1,2143	0,7101	0,4133	0,6425	0,1790	1,2794	0,4330	0,3784	0,0569	1,2299	-0,1871	0,9567	0,0128	0,3365	1,1830	0,0864	0,0294	1,4344	1,2683
	P. major	46511	FB	TN	-1,7852	1,2122	0,7093	0,3997	0,6523	0,1875	1,2851	0,4166	0,3820	0,1106	1,2307	-0,2366	0,9590		0,3385	1,1824	0,1004	0,0645	1,4433	1,2788
Fringillidae	Emberiza schoeniclus	44886	FB	TG	-1,7825	1,2360	0,6580	0,4048	0,6021	0,1875	1,3247	0,4684	0,3874	0,1271	1,2737	-0,3979	1,0212	-0,0362	0,1761	1,1978	0,0453	0,0294	1,4469	1,2903
	E. schoeniclus	44893	FB	TG	-1,6799	1,2524	0,6128	0,3856	0,6375	0,2201	1,3469	0,5159	0,4393	0,1335	1,2945	-0,3279	1,0531	-0,0410	0,3838	1,2079	0,0531	0,0414	1,4376	1,2819
	E. schoeniclus	56856	FB	TG	-1,5686	1,2876	0,6365	0,4048	0,7259	0,2577	1,3742	0,5587	0,4579	0,1761			1,0756	0,0334	0,3784	1,2693	0,1399	0,1173	1,4933	1,3296
	E. schoeniclus	*18940	FB	TG	-1,7959	1,2681	0,7419	0,4362	0,6294	0,2201	1,3477	0,3945	0,4314	0,1761	1,2867	-0,1024	1,0442	-0,0410	0,3243	1,2353	0,1106	0,0792	1,4586	1,2833
	Coccothraustes coccothraustes	57930	FB	TN	-1,2916	1,3713	0,7980	0,5647	0,7774	0,3503	1,4533	0,5966	0,5551	0,2672	1,3962	-0,2676	1,1830	0,1732	0,4983	1,3501	0,2175	0,1903	1,5506	1,3475
	C. coccothraustes	57943	FB	TN	-1,2959	1,3711	0,7135	0,4900	0,7292	0,3674	1,4470	0,6201	0,5575	0,3139	1,3922	-0,2924	1,1813	0,1523	0,5079	1,3464	0,2455	0,2201	1,5383	1,3357
	C. coccothraustes	58079	FB	TN	-1,3170	1,3789	0,7738	0,5966	0,7589	0,3541	1,4598	0,5922	0,5763	0,2967	1,4059	-0,2292	1,1858	0,2041	0,4914	1,3516	0,2672	0,1673	1,5478	1,3522
	Carpodacus erythrinus	43877	FB	TGN	-1,6073	1,2465	0,6551	0,4684	0,6794	0,2279	1,3577	0,4742	0,4639	0,1959	1,3075	-0,3768	1,0941	0,1139	0,3784	1,2350	0,1038	0,0792	1,4747	1,2688
	C. erythrinus	44197	FB	TGN	-1,6576	1,2445	0,6964	0,4955	0,6561	0,2430	1,3491	0,4609	0,4456	0,2041	1,2995	-0,3768		0,1367	0,3424	1,2274	0,1038	0,0828		1,2350
	C. erythrinus	46373	FB	TGN	-1,6091	1,2499	0,6107	0,4409	0,6513	0,2381	1,3426	0,4579	0,4314	0,1399	1,2912	-0,3872	1,0558	0,0374	0,3674	1,2188	0,0756	0,0374	1,4469	1,2565
	C. erythrinus	46370	FB	TGN	-1,6459	1,2350	0,6263	0,3222	0,6075	0,2381	1,3469	0,4564	0,4362	0,1875	1,2982	-0,3872	1,0561	-0,0506	0,3945	1,2191	0,0719	0,0607	1,4504	1,2531
	Quiscalus major	45857	FB	TG	-0,7447	1,6022	1,0191	0,7497	0,9562	0,5289	1,6800	0,8143	0,7513	0,4713	1,6248	-0,0177	1,3959	0,3560	0,6656	1,5834	0,4594	0,4393	1,8317	1,6804
	Q. major	45730	FB	TG	-0,7213	1,6071	1,0009	0,6902	0,9786	0,5198	1,6916	0,8710	0,7642	0,4928	1,6403	-0,0269	1,4120	0,3541	0,6618	1,5868	0,4456	0,4249	1,8406	1,6878
	Q. major	55190	FB	TG	-0,7540	1,6252	1,0667	0,7193	1,0069	0,5328		0,8414	0,7731	0,5065	1,6431	0,2406	1,4254	0,4518	0,6964	1,5945	0,5092	0,4487	1,8536	1,6886
	Sturnella magna	45310	FB	TG	-1,0088	1,4900	0,8621	0,6484	0,8241	0,4440	1,5398	0,7160	0,6138	0,3962	1,4836	-0,0223	1,2413	0,2742	0,8627	1,5031	0,3729	0,3404	1,7397	1,6072
	S. magna	45312	FB	TG	-1,0278	1,4918	0,8621	0,6911	0,8274	0,4298	1,5616	0,6721	0,6253	0,3874	1,5104	-0,1675	1,2808	0,3139	0,8663	1,5092	0,3655	0,3365	1,7563	1,6364
	S. magna	45315	FB	TG	-0,9830	1,5007	0,9222	0,7168	0,8621	0,4378	1,5572	0,7059	0,6233	0,4031	1,5012	-0,0269	1,2644	0,2529	0,8420				1,7452	1,6070
